型号,系列,分辨率,像元(μm),像元来源,焦距(mm),焦距原始,工作距离(mm),传感器宽(mm),传感器高(mm),视野宽(mm),视野高(mm),单像素精度(mm),备注
MV-SC1003M-03S-WBN-SR,SC1000入门,640×480,3.4,推测*,3.1,3.1mm,50,2.176,1.632,35.1,26.32,0.0548,
MV-SC1003M-03S-WBN-SR,SC1000入门,640×480,3.4,推测*,3.1,3.1mm,100,2.176,1.632,70.19,52.65,0.1097,
MV-SC1003M-03S-WBN-SR,SC1000入门,640×480,3.4,推测*,3.1,3.1mm,150,2.176,1.632,105.29,78.97,0.1645,
MV-SC1003M-03S-WBN-SR,SC1000入门,640×480,3.4,推测*,3.1,3.1mm,200,2.176,1.632,140.39,105.29,0.2194,
MV-SC1003M-03S-WBN-SR,SC1000入门,640×480,3.4,推测*,3.1,3.1mm,300,2.176,1.632,210.58,157.94,0.329,
MV-SC1003M-03S-WBN-SR,SC1000入门,640×480,3.4,推测*,3.1,3.1mm,500,2.176,1.632,350.97,263.23,0.5484,
MV-SC1003M-03S-WBN-NR,SC1000入门,640×480,3.4,推测*,3.1,3.1mm,50,2.176,1.632,35.1,26.32,0.0548,
MV-SC1003M-03S-WBN-NR,SC1000入门,640×480,3.4,推测*,3.1,3.1mm,100,2.176,1.632,70.19,52.65,0.1097,
MV-SC1003M-03S-WBN-NR,SC1000入门,640×480,3.4,推测*,3.1,3.1mm,150,2.176,1.632,105.29,78.97,0.1645,
MV-SC1003M-03S-WBN-NR,SC1000入门,640×480,3.4,推测*,3.1,3.1mm,200,2.176,1.632,140.39,105.29,0.2194,
MV-SC1003M-03S-WBN-NR,SC1000入门,640×480,3.4,推测*,3.1,3.1mm,300,2.176,1.632,210.58,157.94,0.329,
MV-SC1003M-03S-WBN-NR,SC1000入门,640×480,3.4,推测*,3.1,3.1mm,500,2.176,1.632,350.97,263.23,0.5484,
MV-SC1003C-03S-WBN-SR,SC1000入门,640×480,3.4,推测*,3.1,3.1mm,50,2.176,1.632,35.1,26.32,0.0548,
MV-SC1003C-03S-WBN-SR,SC1000入门,640×480,3.4,推测*,3.1,3.1mm,100,2.176,1.632,70.19,52.65,0.1097,
MV-SC1003C-03S-WBN-SR,SC1000入门,640×480,3.4,推测*,3.1,3.1mm,150,2.176,1.632,105.29,78.97,0.1645,
MV-SC1003C-03S-WBN-SR,SC1000入门,640×480,3.4,推测*,3.1,3.1mm,200,2.176,1.632,140.39,105.29,0.2194,
MV-SC1003C-03S-WBN-SR,SC1000入门,640×480,3.4,推测*,3.1,3.1mm,300,2.176,1.632,210.58,157.94,0.329,
MV-SC1003C-03S-WBN-SR,SC1000入门,640×480,3.4,推测*,3.1,3.1mm,500,2.176,1.632,350.97,263.23,0.5484,
MV-SC1003C-03S-WBN-NR,SC1000入门,640×480,3.4,推测*,3.1,3.1mm,50,2.176,1.632,35.1,26.32,0.0548,
MV-SC1003C-03S-WBN-NR,SC1000入门,640×480,3.4,推测*,3.1,3.1mm,100,2.176,1.632,70.19,52.65,0.1097,
MV-SC1003C-03S-WBN-NR,SC1000入门,640×480,3.4,推测*,3.1,3.1mm,150,2.176,1.632,105.29,78.97,0.1645,
MV-SC1003C-03S-WBN-NR,SC1000入门,640×480,3.4,推测*,3.1,3.1mm,200,2.176,1.632,140.39,105.29,0.2194,
MV-SC1003C-03S-WBN-NR,SC1000入门,640×480,3.4,推测*,3.1,3.1mm,300,2.176,1.632,210.58,157.94,0.329,
MV-SC1003C-03S-WBN-NR,SC1000入门,640×480,3.4,推测*,3.1,3.1mm,500,2.176,1.632,350.97,263.23,0.5484,
MV-SC1008M-05S-WBN-SR,SC1000入门,1024×768,3.14,推测*,4.9,4.9mm,50,3.215,2.412,32.81,24.61,0.032,
MV-SC1008M-05S-WBN-SR,SC1000入门,1024×768,3.14,推测*,4.9,4.9mm,100,3.215,2.412,65.62,49.21,0.0641,
MV-SC1008M-05S-WBN-SR,SC1000入门,1024×768,3.14,推测*,4.9,4.9mm,150,3.215,2.412,98.43,73.82,0.0961,
MV-SC1008M-05S-WBN-SR,SC1000入门,1024×768,3.14,推测*,4.9,4.9mm,200,3.215,2.412,131.24,98.43,0.1282,
